rule_id,label,field,type,pattern,description
SQLI_01,66 - SQL Injection,all,regex_decoded,\bunion\s+(all\s+)?select\b,"Uso de UNION SELECT, patron clasico de SQL Injection."
SQLI_02,66 - SQL Injection,all,keyword_decoded,information_schema,"Referencia a information_schema, frecuente en extraccion de metadatos SQL."
SQLI_03,66 - SQL Injection,all,regex_decoded,"(\bor\b|\band\b)\s+['\""]?\d+['\""]?\s*=\s*['\""]?\d+",Condiciones booleanas del tipo OR 1=1 o AND 1=1.
SQLI_04,66 - SQL Injection,all,regex_decoded,"\b(select|insert|update|delete|drop)\b.{0,80}\b(from|into|set|table|database)\b",Combinaciones de palabras clave SQL en una misma carga.
SQLI_05,66 - SQL Injection,all,regex_decoded,"(\b(select|union|insert|update|delete|drop|where|from)\b.{0,80}(--|#|/\*)|(--|#|/\*).{0,80}\b(select|union|insert|update|delete|drop|where|from)\b)","Comentarios SQL, pero solo cuando aparecen cerca de palabras clave SQL para evitar falsos positivos."
SQLI_06,66 - SQL Injection,all,regex_decoded,\b(sleep|benchmark|extractvalue|updatexml|load_file)\s*\(|\bwaitfor\s+delay\b,Funciones SQL habituales en inyecciones o pruebas temporales.
PT_01,126 - Path Traversal,all,regex_decoded,\.\.[\\/],Secuencias ../ o ..\ para salto de directorios.
PT_02,126 - Path Traversal,all,keyword_decoded,/etc/passwd,Acceso a fichero sensible de sistemas Unix.
PT_03,126 - Path Traversal,all,regex_decoded,(\.svn/|\.git/|web-inf|wp-config\.php|boot\.ini|win\.ini|password\.properties),Acceso a ficheros internos o de configuracion mediante ruta.
PT_04,126 - Path Traversal,all_raw,regex_raw,(%2e%2e(%2f|%5c)|%252e%252e(%252f|%255c)|\.\.%2f|\.\.%5c),Traversal URL-encoded. Se evita disparar por cualquier %2f aislado porque aparece en URLs normales.
CODE_01,242 - Code Injection,all,regex_decoded,<\s*script\b|javascript\s*:|onerror\s*=|onload\s*=,Patrones de inyeccion de script/XSS reflejados en la peticion.
CODE_02,242 - Code Injection,all,regex_decoded,<\?php|php://input|php://filter|allow_url_include|auto_prepend_file,Carga PHP o wrappers PHP usados para inyectar codigo.
CODE_03,242 - Code Injection,all,regex_decoded,\b(eval|assert|base64_decode|create_function)\s*\(,Funciones asociadas a ejecucion u ofuscacion de codigo.
OSCI_01,88 - OS Command Injection,all,regex_decoded,(;|\||&&|\$\(|`)\s*(whoami|id|uname|cat|ls|dir|wget|curl|chmod|nc|netcat|ping|bash|sh)\b,Encadenamiento de comandos del sistema operativo.
OSCI_02,88 - OS Command Injection,all,regex_decoded,(/bin/sh|/bin/bash|cmd\.exe|powershell),Invocacion directa de shells o interpretes del sistema.
OSCI_03,88 - OS Command Injection,request_body,regex_decoded,\b(wget|curl|chmod|cat)\b,Comandos del sistema dentro del cuerpo de la peticion.
DICT_01,16 - Dictionary-based Password Attack,request_http_request,regex_decoded,(wp-login\.php|/login|/signin|/admin|/administrator),Peticion dirigida a endpoint de autenticacion.
DICT_02,16 - Dictionary-based Password Attack,request_body,regex_decoded,(log|user|username|pwd|pass|password)=,Envio de parametros de usuario y contrasena en la peticion.
DICT_03,16 - Dictionary-based Password Attack,request_body,regex_decoded,(admin|root|test|password|123456),Credenciales comunes en cuerpo de autenticacion.
