source_index,target_label,labels,text_input
10453,000 - Normal,000 - Normal,request_http_method: GET | request_http_request: / | request_user_agent: Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MALNJS; rv:11.0) like Gecko | request_host: test-site.com
7238,000 - Normal,000 - Normal,request_http_method: GET | request_http_request: / | request_user_agent: Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MAARJS; rv:11.0) like Gecko | request_host: test-site.com
4744,272 - Protocol Manipulation,272 - Protocol Manipulation,request_http_method: POST | request_http_request: /blog/wp-login.php?action=register | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 | request_referer: http://test-site.com/blog/wp-login.php?action=register | request_host: test-site.com...
3175,242 - Code Injection,242 - Code Injection,request_http_method: POST | request_http_request: /%24%7B%40print%28chr%28122%29.chr%2897%29.chr%28112%29.chr%2895%29.chr%28116%29.chr%28111%29.chr%28107%29.chr%28101%29.chr%28110%29%29%7D%5C/wp-login.php?action=lostpassword | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; r...
3398,88 - OS Command Injection,88 - OS Command Injection,request_http_method: POST | request_http_request: /blog/index.php/my-account/edit-profile/?mode=grid | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 | request_referer: http://test-site.com/blog/index.php/my-account/edit-profile/?mode=gri...
565,126 - Path Traversal,126 - Path Traversal,request_http_method: GET | request_http_request: /blog/wp-login.php?reauth=1&redirect_to=http%3A%2F%2Ftest-site.com%2Fblog%2Fwp-admin%2Fprofile.php | request_user_agent: ../../../../../../../../../../../../../../../../etc/passwd | request_referer: http://test-site.com/blog/wp-adm...
2958,66 - SQL Injection,66 - SQL Injection,request_http_method: POST | request_http_request: /blog/wp-login.php?action=lostpassword | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0' UNION ALL select NULL -- | request_referer: http://test-site.com/blog/wp-login.php?action=lostpassw...
7191,16 - Dictionary-based Password Attack,16 - Dictionary-based Password Attack,request_http_method: POST | request_http_request: /wp-login.php | request_user_agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0 | request_host: test-site.com | request_content_type: application/x-www-form-urlencoded | request_body: log=tomas&pwd...
87,310 - Scanning for Vulnerable Software,310 - Scanning for Vulnerable Software,request_http_method: GET | request_http_request: /7/ | request_user_agent: Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html) | request_host: 249.network5-175-62-15.static.network5.net
874,153 - Input Data Manipulation,153 - Input Data Manipulation,request_http_method: POST | request_http_request: /blog/index.php/my-account/lost-password/ | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 | request_referer: http://test-site.com/blog/index.php/my-account/lost-password/ | request_host:...
7171,274 - HTTP Verb Tampering,274 - HTTP Verb Tampering,request_http_method: PATCH | request_http_request: /blog/wp-login.php?action=lostpassword/9rndaiv8u7 | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 | request_referer: http://test-site.com/blog/wp-login.php?action=lostpassword | request_...
1317,194 - Fake the Source of Data,194 - Fake the Source of Data,request_http_method: POST | request_http_request: /blog/www.google.com%2Fsearch%3Fq%3DOWASP%2520priority?action=lostpassword | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 | request_referer: http://test-site.com/blog/wp-login.php?action...
4427,34 - HTTP Response Splitting,34 - HTTP Response Splitting,request_http_method: POST | request_http_request: /any%3F%0D%0ASet-cookie%3A+Tamper%3D8b5046c4-4449-4d0a-a8c2-48a9a33cc97b%0D%0A/index.php/my-account | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0 | request_referer: https://test-site.co...
4561,33 - HTTP Request Smuggling,34 - HTTP Response Splitting;33 - HTTP Request Smuggling,request_http_method: GET | request_http_request: /blog/wp-login.php?reauth=any%3F%0D%0ASet-cookie%3A+Tamper%3D179ed63d-70a3-4613-af1a-b3edf19211c2&redirect_to=http%3A%2F%2Ftest-site.com%2Fblog%2Fwp-admin%2Fprofile.php | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0)...
